LatD," ""LatM"""," ""LatS"""," ""NS"""," ""LonD"""," ""LonM"""," ""LonS"""," ""EW"""," ""City"""," ""State"""
41,5,59," ""N""",80,39,0," ""W"""," ""Youngstown""", OH
42,52,48," ""N""",97,23,23," ""W"""," ""Yankton""", SD
42,16,12," ""N""",71,48,0," ""W"""," ""Worcester""", MA
43,37,48," ""N""",89,46,11," ""W"""," ""Wisconsin Dells""", WI
36,5,59," ""N""",80,15,0," ""W"""," ""Winston-Salem""", NC
39,11,23," ""N""",78,9,36," ""W"""," ""Winchester""", VA
39,45,0," ""N""",75,33,0," ""W"""," ""Wilmington""", DE
41,15,0," ""N""",77,0,0," ""W"""," ""Williamsport""", PA
37,40,48," ""N""",82,16,47," ""W"""," ""Williamson""", WV
37,41,23," ""N""",97,20,23," ""W"""," ""Wichita""", KS
40,4,11," ""N""",80,43,12," ""W"""," ""Wheeling""", WV
41,25,11," ""N""",122,23,23," ""W"""," ""Weed""", CA
44,57,35," ""N""",89,38,23," ""W"""," ""Wausau""", WI
42,21,36," ""N""",87,49,48," ""W"""," ""Waukegan""", IL
44,54,0," ""N""",97,6,36," ""W"""," ""Watertown""", SD
43,58,47," ""N""",75,55,11," ""W"""," ""Watertown""", NY
42,30,0," ""N""",92,20,23," ""W"""," ""Waterloo""", IA
41,32,59," ""N""",73,3,0," ""W"""," ""Waterbury""", CT
38,53,23," ""N""",77,1,47," ""W"""," ""Washington""", DC
41,50,59," ""N""",79,8,23," ""W"""," ""Warren""", PA
38,40,48," ""N""",87,31,47," ""W"""," ""Vincennes""", IN
43,6,36," ""N""",75,13,48," ""W"""," ""Utica""", NY
39,54,0," ""N""",79,43,48," ""W"""," ""Uniontown""", PA
42,33,36," ""N""",114,28,12," ""W"""," ""Twin Falls""", ID
36,9,35," ""N""",95,54,36," ""W"""," ""Tulsa""", OK
37,10,11," ""N""",104,30,36," ""W"""," ""Trinidad""", CO
40,13,47," ""N""",74,46,11," ""W"""," ""Trenton""", NJ
44,45,35," ""N""",85,37,47," ""W"""," ""Traverse City""", MI
43,39,0," ""N""",79,22,47," ""W"""," ""Toronto""", ON
39,2,59," ""N""",95,40,11," ""W"""," ""Topeka""", KS
41,39,0," ""N""",83,32,24," ""W"""," ""Toledo""", OH
39,28,12," ""N""",87,24,36," ""W"""," ""Terre Haute""", IN
43,2,59," ""N""",76,9,0," ""W"""," ""Syracuse""", NY
40,59,24," ""N""",75,11,24," ""W"""," ""Stroudsburg""", PA
37,57,35," ""N""",121,17,24," ""W"""," ""Stockton""", CA
44,31,12," ""N""",89,34,11," ""W"""," ""Stevens Point""", WI
40,21,36," ""N""",80,37,12," ""W"""," ""Steubenville""", OH
40,37,11," ""N""",103,13,12," ""W"""," ""Sterling""", CO
38,9,0," ""N""",79,4,11," ""W"""," ""Staunton""", VA
